Downloaded from wid.world on 13-04-2025 at 15:51:18
Year;"spllin_p0p100_992_f_US";"spllin_p0p100_992_f_SE";"spllin_p0p100_992_f_FR";"spllin_p0p100_992_f_DE";"spllin_p0p100_992_f_IN";"spllin_p0p100_992_f_CN";"spllin_p0p100_992_f_BR";"spllin_p0p100_992_f_ZA";"spllin_p0p100_992_f_AU";"spllin_p0p100_992_f_JP";"spllin_p0p100_992_f_WO"
1995;0.34040001;0.3872;0.3524;0.30720001;0.1507;0.3682;0.2868;0.33680001;0.33539999;0.2332;0.2786555
1996;0.3448;0.3872;0.3524;0.3057;0.1534;0.3682;0.29949999;0.33680001;0.3405;0.2332;0.27935657
1997;0.3452;0.3872;0.35600001;0.3114;0.15620001;0.3682;0.29980001;0.33680001;0.34439999;0.2332;0.27981561
1998;0.35049999;0.3872;0.3576;0.3109;0.15899999;0.3682;0.3062;0.33680001;0.34830001;0.2332;0.28095829
1999;0.34560001;0.3872;0.35659999;0.3089;0.1619;0.3682;0.3184;0.33680001;0.3522;0.2332;0.28153703
2000;0.34740001;0.3872;0.36070001;0.3125;0.1608;0.3682;0.32319999;0.33680001;0.35620001;0.2332;0.28103074
2001;0.35530001;0.39179999;0.36219999;0.31310001;0.15979999;0.3682;0.3242;0.33680001;0.35749999;0.2332;0.28190219
2002;0.3558;0.39269999;0.37369999;0.31459999;0.15880001;0.3682;0.33199999;0.33680001;0.36090001;0.2332;0.28190956
2003;0.36250001;0.40970001;0.37529999;0.31819999;0.1578;0.366;0.3344;0.33680001;0.35949999;0.2332;0.2813662
2004;0.3581;0.4057;0.37990001;0.32870001;0.1569;0.36379999;0.3396;0.33680001;0.3522;0.2332;0.27992997
2005;0.35640001;0.41240001;0.3845;0.3224;0.1568;0.36160001;0.34400001;0.33680001;0.3538;0.2332;0.28019333
2006;0.36379999;0.40990001;0.3874;0.3222;0.1567;0.35929999;0.34900001;0.33680001;0.35350001;0.2332;0.2808502
2007;0.36860001;0.40169999;0.39480001;0.32609999;0.1566;0.35710001;0.34909999;0.33680001;0.35330001;0.2332;0.28039294
2008;0.36590001;0.39489999;0.39680001;0.3337;0.1566;0.35479999;0.35030001;0.33680001;0.35080001;0.2332;0.2799089
2009;0.3779;0.40560001;0.398;0.3443;0.1568;0.35260001;0.35499999;0.34040001;0.35499999;0.2449;0.28146672
2010;0.37729999;0.41389999;0.396;0.34130001;0.1568;0.35030001;0.3626;0.3371;0.35519999;0.25409999;0.28117955
2011;0.3741;0.4174;0.39809999;0.34529999;0.1568;0.34799999;0.3635;0.35260001;0.35780001;0.26050001;0.28002232
2012;0.37450001;0.41940001;0.39829999;0.35319999;0.1568;0.3457;0.36230001;0.3637;0.35859999;0.26550001;0.28026131
2013;0.37509999;0.421;0.40239999;0.3486;0.1568;0.34150001;0.36790001;0.3633;0.35949999;0.26910001;0.27907974
2014;0.37419999;0.41850001;0.40540001;0.35730001;0.1568;0.34439999;0.37270001;0.3601;0.35839999;0.26910001;0.27946791
2015;0.37760001;0.41670001;0.41119999;0.3608;0.1568;0.34540001;0.37459999;0.35640001;0.366;0.26910001;0.28120768
2016;0.3788;0.42160001;0.40959999;0.3592;0.1568;0.34639999;0.36629999;0.35910001;0.37009999;0.26910001;0.28107539
2017;0.38170001;0.4242;0.4161;0.3624;0.1568;0.34740001;0.36559999;0.35960001;0.38060001;0.26910001;0.28136235
2018;0.3849;0.42550001;0.41460001;0.35820001;0.1568;0.3457;0.36399999;0.35960001;0.3897;0.26910001;0.28085175
2019;0.3937;0.4219;0.42199999;0.36140001;0.1568;0.3457;0.3743;0.35960001;0.40790001;0.26910001;0.28223735
2020;0.38909999;0.4136;0.42559999;0.36880001;0.1568;0.3457;0.36149999;0.35960001;0.41769999;0.26910001;0.28248239
2021;0.3924;0.40549999;0.42559999;0.36880001;0.1568;0.3457;0.36379999;0.35960001;0.41569999;0.26910001;0.2821081
2022;0.3971;0.40549999;0.42559999;0.36880001;0.1568;0.3457;0.37419999;0.35960001;0.41569999;0.26910001;0.28235176
2023;0.3971;0.40549999;0.42559999;0.36880001;0.1568;0.3457;0.37419999;0.35960001;0.41569999;0.26910001;0.2819519
