Downloaded from wid.world on 13-04-2025 at 13:58:54
Year;"wwealn_pall_999_i_US";"wwealn_pall_999_i_SE";"wwealn_pall_999_i_FR";"wwealn_pall_999_i_DE";"wwealn_pall_999_i_IN";"wwealn_pall_999_i_CN";"wwealn_pall_999_i_BR";"wwealn_pall_999_i_ZA";"wwealn_pall_999_i_AU";"wwealn_pall_999_i_JP";"wwealn_pall_999_i_WO"
1995;3.745803594589233;2.544957637786865;3.538203477859497;4.253629207611084;4.825907367701507;4.6461421;3.37947154045105;3.7087082862854;4.907835960388184;7.130791187286377;4.232902050018311
1996;3.887434720993042;2.630652904510498;3.640932083129883;3.964091777801514;4.721800958124455;4.7944493;3.372252225875854;3.69672417640686;4.786798000335693;6.9774489402771;4.273839950561523
1997;4.101242065429688;2.830671787261963;3.593154907226563;4.072471141815186;4.611513204824229;5.1906912;3.342926502227783;3.542378425598145;4.950192928314209;6.889863967895508;4.337997436523438
1998;4.376045703887939;2.974971532821655;3.585405588150024;4.134034156799316;4.678474745422018;5.550454;3.326940298080444;3.513190269470215;5.032496452331543;7.030346870422363;4.467151641845703
1999;4.660504817962646;3.243231773376465;3.777923583984375;4.274943828582764;4.643296311907764;5.8293066;3.354067087173462;3.659371376037598;5.2405104637146;7.190464973449707;4.611678123474121
2000;4.681720733642578;3.457196474075317;3.966363906860352;4.419451236724854;4.49177431187293;6.1206998;3.342320203781128;3.740221500396729;5.430952548980713;7.099801063537598;4.661874294281006
2001;4.652834892272949;3.463820219039917;4.008983612060547;4.356775760650635;4.597274487338401;6.034199;3.382718801498413;3.682470083236694;5.547300815582275;6.930119514465332;4.682594776153564
2002;4.524762630462646;3.3494713306427;4.099872589111328;4.308526992797852;4.649978364659925;5.9563532;3.132491827011108;3.48558521270752;5.680331230163574;6.792012214660645;4.645082473754883
2003;4.554634571075439;3.378349781036377;4.362949848175049;4.225759506225586;4.846974160393198;5.9779138;3.207845449447632;3.388974666595459;5.906773567199707;6.654286861419678;4.714919090270996
2004;4.815989971160889;3.606540441513062;4.7305588722229;4.120582103729248;4.837112325517374;6.0138242;3.245588302612305;3.389183044433594;6.267394542694092;6.485994815826416;4.797321796417236
2005;5.052370071411133;3.893053531646729;5.221988201141357;4.168468952178955;4.888220621236203;6.1669074;3.192083835601807;3.494777202606201;6.453241348266602;6.452707290649414;4.961763858795166
