Downloaded from wid.world on 21-04-2025 at 17:20:11
Year;"anninc_pall_992_i_US";"anninc_pall_992_i_FR";"anninc_pall_992_i_DE";"anninc_pall_992_i_IN";"anninc_pall_992_i_CN";"anninc_pall_992_i_BR";"anninc_pall_992_i_ZA";"anninc_pall_992_i_JP";"anninc_pall_992_i_SE";"anninc_pall_992_i_AU";"anninc_pall_992_i_WO"
1980;32903.1301;31230.8002;30280.21;2152.3509;2001.9834;16792.2911;14670.4766;22094.7321;27864.463;29719.4218;11851.2
1981;33154.6674;31219.8318;30051.3171;2228.8762;2075.9606;15329.4994;15003.0405;22545.0303;27630.5559;30130.4215;11775.2
1982;31638.1573;31482.774;29622.7077;2243.2192;2209.9879;14785.2637;14354.5133;23028.2077;27765.7111;29513.7561;11546.0
1983;32756.7398;31322.9347;29932.259;2312.8538;2301.0198;13684.8557;13642.8063;23437.7093;27994.0146;28769.7401;11555.5
1984;34823.2497;31468.914;30666.7491;2363.1663;2485.9719;14037.5033;14075.4332;24226.1272;29154.6861;29554.3586;11776.7
1985;35635.8163;31894.687;31177.1462;2405.5916;2625.445;14876.9322;13334.3812;25271.8383;29603.6729;30439.4174;11864.4
1986;36211.1503;32281.2729;31560.5794;2443.6839;2682.625;15761.1641;12731.212;25723.8089;30400.6626;30567.4314;11946.4
1987;36982.3399;32786.9158;31682.4611;2480.2571;2788.4302;16013.122;12904.7292;26664.7112;31453.6708;30941.0976;12041.1
1988;38159.7459;34100.63;32694.9732;2607.2734;2851.8471;15485.9383;13237.8073;28196.8159;31958.6453;31576.1927;12289.3
1989;39256.069;35327.993;33704.9441;2713.572;2817.5906;15785.367;13134.2553;29163.5803;32375.9078;32123.8765;12435.6
1990;39510.347;35843.8066;35133.3598;2780.6424;2714.5451;14716.0378;12775.1284;30270.3467;32191.3807;31757.3169;12437.0
1991;38663.0879;35752.7689;36682.8101;2756.0688;2794.9798;14561.0841;12833.2307;30695.0472;31523.5519;31090.6209;12287.6
1992;39712.6197;35894.7597;36985.9614;2786.5432;2973.548;14069.3522;12635.6389;30369.701;30483.4487;31286.0057;12197.7
1993;40362.7531;35271.2565;36068.7899;2848.8066;3175.1133;14338.9672;12887.8072;29686.2133;29194.8676;32284.0597;12107.3
1994;41577.1912;35840.516;36636.0339;2967.5755;3382.4187;15008.0131;13068.0179;29583.8139;30863.4391;32942.512;12207.4
1995;42170.6402;36378.4658;36953.9615;3112.5084;3661.1255;15313.4925;13008.7863;30048.8052;32080.7282;33771.2863;12330.1
1996;43360.8804;36856.4882;37185.0191;3261.2323;3686.0544;15235.6856;13188.5655;30597.9938;32541.2568;34909.483;12555.2
1997;44704.396;38086.045;37643.1813;3340.3834;3861.0902;15332.1122;13205.4324;30645.9064;33423.8703;36172.472;12798.9
1998;46129.9302;39370.643;38255.6956;3434.5007;3754.9906;14873.8519;12920.7698;29683.6378;34821.4699;37512.0229;12755.6
1999;47738.419;40772.8024;38965.0564;3635.6826;3901.6388;14324.2805;12815.3446;29218.5816;36289.1579;38781.5026;12964.4
2000;49008.6725;41844.8131;39876.9572;3706.9076;4090.8592;14718.8706;13064.9512;29647.4794;37640.4305;39518.8858;13352.6
2001;48740.6913;42377.9766;40303.0255;3770.729;4273.8796;14431.2409;13190.1631;29517.4862;38182.2945;39969.9194;13358.9
2002;48939.7554;42185.7306;39761.4755;3820.7202;4687.8464;14501.9244;13606.5383;29318.5861;39119.9155;41047.4729;13481.3
2003;49818.3648;42210.6588;39387.9246;3988.2371;5045.5531;14261.6004;13819.4637;29737.6139;40923.6899;41948.5926;13724.7
2004;51261.5461;43052.9316;40366.3663;4205.0473;5532.3564;14802.4807;14333.0922;30342.4685;41959.5366;42836.9205;14205.1
2005;52357.9361;43587.4911;40600.6239;4399.6663;5946.5808;14925.4756;14891.6105;30755.4617;43692.2502;43272.6512;14593.8
2006;52920.9038;44385.7906;42429.4138;4623.9094;6607.2977;15191.1577;15261.5167;31238.3804;45913.319;43831.8476;15095.7
2007;53536.211;45023.9515;43288.2326;4861.2978;7327.7336;15828.9322;15462.5241;31514.7014;47261.5387;44577.4271;15592.7
2008;52905.3958;44462.669;43410.3966;4970.998;7681.4295;16338.5138;15508.9747;30758.5285;46326.0938;44950.0984;15683.8
2009;50469.1667;42736.3439;40925.5162;5141.9846;8054.5902;15965.4312;14899.1763;28637.7317;42712.2;44473.0071;15127.6
2010;51740.824;43579.7135;42514.6839;5420.7986;8755.0278;16738.5496;15160.8569;29882.5777;45714.7152;44777.2179;15689.1
2011;52284.4067;43981.2563;44515.2376;5646.0121;9322.965;17238.45;15341.2053;30524.9871;46749.7649;45704.6796;16031.8
2012;52709.7407;43598.3598;44252.5567;5786.6639;9954.2456;17298.6548;15296.5911;31064.0543;46466.6054;46244.4986;16246.2
2013;53349.3127;43709.8385;44299.2388;5957.9394;10519.3864;17787.5814;15251.7197;31905.0388;47209.6877;46589.2646;16493.0
2014;53879.9275;43729.1828;44862.6239;6190.5468;11275.4954;17516.7836;15131.5027;32206.4756;48363.313;46737.9825;16762.5
2015;54981.8656;44070.1003;45337.3508;6581.9692;11906.592;16580.6806;15093.2331;32824.5097;49025.7295;46851.4042;17052.1
2016;55315.1543;44309.1115;46188.1696;6995.8652;12571.0252;15712.7582;14773.5787;33019.458;49438.0101;47406.384;17297.1
2017;56494.0309;45164.3469;47189.7641;7326.9879;13322.9764;15756.681;14659.0269;33691.1699;50819.6598;47512.2727;17696.7
2018;57576.4503;45534.3806;47695.079;7702.3438;14048.398;15690.563;14616.2215;33994.0371;51218.9398;47867.1774;18067.5
2019;58310.8083;45817.5645;48007.4537;7862.3078;14761.346;15718.2589;14369.094;33564.5179;52263.0046;47376.2519;18292.0
2020;55730.729;41794.5579;45397.5857;7318.497;14740.7406;14912.9341;13250.3864;31801.906;50951.515;48091.7941;17407.1
