Downloaded from wid.world on 13-04-2025 at 18:00:31
Year;"anweal_pall_992_i_US";"anweal_pall_992_i_SE";"anweal_pall_992_i_FR";"anweal_pall_992_i_DE";"anweal_pall_992_i_IN";"anweal_pall_992_i_CN";"anweal_pall_992_i_BR";"anweal_pall_992_i_ZA";"anweal_pall_992_i_AU";"anweal_pall_992_i_JP";"anweal_pall_992_i_WO"
1995;157963.0458;81644.0891;128714.3754;157188.5947;12510.8135;15390.8052;51751.4619;48245.7802;165744.0626;214271.7654;52192.2
1996;168562.641;85604.7504;134192.0899;147404.9308;13315.4309;15987.4245;51378.5994;48754.4873;167104.6492;213495.9311;53659.0
1997;183343.4513;94612.001;136848.9335;153300.616;13507.8201;18290.7807;51254.0918;46778.6518;179060.831;211146.119;55521.7
1998;201866.7736;103592.8918;141159.8105;158150.2835;13791.4378;20120.5432;49484.3905;45393.1217;188779.2321;208686.2786;56981.3
1999;222485.1487;117694.143;154036.4032;166573.3901;14423.3288;23242.5055;48044.6191;46896.0959;203234.7656;210095.1919;59787.7
2000;229444.9056;130130.3777;165971.7085;176234.2311;14680.9091;26194.7489;49195.2206;48865.8072;214625.3077;210491.2077;62248.2
2001;226782.2728;132256.6083;169892.7091;175591.4111;14812.5603;27064.703;48816.8024;48572.3944;221725.0605;204559.6983;62554.4
2002;221440.764;131031.0374;172956.2806;171313.5994;14825.1636;29109.5531;45427.1829;47426.7382;233163.1695;199132.2104;62621.7
2003;226904.3985;138254.5366;184162.9855;166443.8849;15176.1666;31315.4383;45748.9718;46833.7975;247780.8762;197882.6252;64710.9
2004;246874.9128;151328.7568;203664.5864;166333.015;16133.0263;34350.6002;48042.7489;48577.4535;268475.9296;196801.0953;68146.4
2005;264531.8584;170096.2802;227613.5711;169242.5519;17220.8037;37813.8768;47643.3731;52042.8486;279248.764;198456.0013;72411.0
2006;276006.0523;196755.1235;251344.2847;173441.3994;18472.3427;41711.6152;48141.8159;55515.5249;292934.2714;204861.9551;77417.2
2007;285321.0891;204044.7416;264928.3387;178077.7033;19978.3883;48943.6991;49926.589;57178.822;310755.6909;206871.5675;82064.4
2008;252493.0926;199395.4156;255550.1644;182136.881;21661.9541;49752.076;51052.3825;56268.7703;303015.4419;201367.1391;80770.3
2009;217576.6611;200591.4542;244715.6868;181477.4023;23248.1537;52031.7361;52151.7178;53375.1794;281457.1233;198821.8189;78771.8
2010;216479.2016;216844.3712;250188.0168;184710.2316;24456.4267;60274.2589;55663.9196;53360.3325;299172.512;197219.7814;81317.8
2011;213384.684;221741.0352;257202.5027;188749.8329;26220.1921;63282.0082;61915.3423;53356.2466;289671.0998;203544.1855;82448.4
2012;212083.2807;224160.9071;256597.9449;192814.2812;28404.0139;67667.0836;65488.3264;53741.973;278884.0522;208250.8317;84536.3
2013;230381.6031;232333.864;253761.3194;202016.6776;30119.7582;74026.785;68557.5322;55109.5986;290552.5105;212345.7688;87823.0
2014;244993.1621;248291.4739;250032.9637;212818.4065;32006.4307;82927.3938;70518.6016;55375.5946;312581.856;214207.4966;91688.8
2015;254271.6348;263831.9249;246603.1476;224390.7664;34422.5581;93039.3998;69169.3161;56507.9923;340974.0923;207250.837;95343.2
2016;262663.6104;279677.1844;251558.9661;241147.1919;36432.9817;104399.2855;64847.8291;55590.1085;344053.2024;208384.5853;98508.7
2017;282239.673;293016.4064;260322.3122;260977.577;38065.7222;112384.2956;63652.4796;55780.6211;363446.9385;211237.3495;102344.4
2018;288729.644;297084.6912;265248.7154;278597.339;39573.5237;118003.2869;62584.8832;54284.1202;362461.5816;208891.3375;104347.4
2019;301673.356;307748.0866;273002.8698;295296.4472;40585.1426;127936.7247;61056.4135;51592.5468;353256.7524;203634.3756;107577.8
2020;335809.106;329537.0322;281233.5509;310818.6206;39395.3607;138436.0944;60363.7148;51491.0698;359419.3786;205486.8416;112410.9
2021;367130.0842;357036.1315;296099.7101;324249.2292;36796.4029;147148.7706;61683.9018;50971.6751;402332.482;217509.8965;116258.6
2022;359002.0791;352149.6304;302342.9186;331626.1298;38827.0411;142796.0752;61243.6286;48919.8419;421150.7238;232891.8031;116630.8
2023;349394.529;331599.87;285090.7354;328863.3214;41191.8206;148374.426;62929.6373;47002.2923;431833.8252;243277.9407;117445.2
