Downloaded from wid.world on 13-04-2025 at 15:05:21
Year;"lpfghg_p90p100_z_US";"lpfghg_p90p100_z_SE";"lpfghg_p90p100_z_FR";"lpfghg_p90p100_z_DE";"lpfghg_p90p100_z_IN";"lpfghg_p90p100_z_CN";"lpfghg_p90p100_z_BR";"lpfghg_p90p100_z_ZA";"lpfghg_p90p100_z_AU";"lpfghg_p90p100_z_JP"
1995;71.438789;28.285006;28.227713;39.033634;3.2417383;9.31141;12.997499;25.453945;47.800507;39.657475
1996;73.861656;28.953314;29.523766;38.890942;3.3075235;9.4945669;13.391184;24.822327;47.528561;39.939465
1997;73.780678;28.330132;27.830418;37.342018;3.4174898;9.1134958;13.763041;25.64534;49.078934;38.783028
1998;77.278336;29.162043;29.709234;38.642269;3.4447856;8.8244791;13.74283;24.701675;51.939697;36.093132
1999;77.61599;28.079895;29.305941;38.483631;3.648385;9.1075325;13.1021;26.077543;52.428776;37.884544
2000;80.196075;28.562065;30.008112;38.645626;3.5857325;9.3235779;13.430473;25.293543;51.894539;40.730499
2001;75.591278;25.662827;29.173174;37.874207;3.6744661;9.9069424;13.147999;23.649055;49.582748;39.889011
2002;76.236801;26.378431;28.730751;36.530548;3.7173307;11.239664;12.508835;22.359428;52.671986;40.271584
2003;76.88504;28.396389;28.920593;35.923107;3.9377241;12.450049;12.542523;24.825205;54.173901;40.91116
2004;80.920532;29.126392;29.930416;36.943844;4.1443195;14.076606;12.657784;28.097927;58.506878;42.076706
2005;81.697113;29.263334;29.608303;37.599182;4.3374448;15.711939;13.223438;27.076651;56.580219;42.949467
2006;82.464706;30.823727;29.098597;38.989967;4.6589036;16.777771;13.232792;29.189774;60.277584;42.69083
2007;79.829445;31.748293;30.306269;38.593925;5.1300707;18.735355;13.222603;29.72105;61.602776;42.888939
2008;74.17865;30.296783;29.528795;38.398815;5.4802465;20.378899;14.717583;28.605181;56.506233;41.900764
2009;59.943138;24.869434;26.767912;35.57336;5.9433408;22.936279;14.364553;29.244856;59.190144;36.734394
2010;66.190063;29.037506;26.977085;36.318928;6.2089968;25.014204;16.013277;28.529716;57.521404;38.3358
2011;65.366615;27.966576;27.93092;36.582718;6.663363;28.739561;16.749046;28.607918;57.819614;40.820698
2012;64.539734;26.071922;25.311775;34.989487;7.1662869;29.168598;16.568375;29.887493;61.651432;42.165913
2013;65.546272;25.42066;24.817596;35.861538;7.1158009;30.092239;16.815355;28.943884;59.596802;40.724663
2014;66.248001;24.788279;23.740398;35.509525;7.688436;29.657616;17.635914;29.461349;58.742577;39.77837
2015;65.050629;24.14241;22.481495;34.512794;7.8831367;30.167831;16.87409;27.704645;59.316826;38.153214
2016;62.675426;23.104103;22.06613;34.451775;8.2247524;30.107382;16.130449;27.184013;56.856579;37.663891
2017;61.39217;24.06933;22.552517;34.101334;8.4320736;31.118608;16.297594;27.681314;56.983494;37.298904
2018;63.146179;24.164896;22.19314;33.600163;8.7663059;30.973324;15.378713;27.800943;53.192623;36.468502
2019;61.037483;24.968718;21.732176;31.083866;8.7488413;33.013309;15.178425;27.810942;51.627571;35.631992
