Downloaded from wid.world on 13-04-2025 at 14:34:02
Year;"shweal_p90p100_z_US";"shweal_p0p50_z_US";"shweal_p90p100_z_SE";"shweal_p0p50_z_SE";"shweal_p90p100_z_FR";"shweal_p0p50_z_FR";"shweal_p90p100_z_DE";"shweal_p0p50_z_DE";"shweal_p90p100_z_IN";"shweal_p0p50_z_IN";"shweal_p90p100_z_CN";"shweal_p0p50_z_CN";"shweal_p90p100_z_BR";"shweal_p0p50_z_BR";"shweal_p90p100_z_ZA";"shweal_p0p50_z_ZA";"shweal_p90p100_z_AU";"shweal_p0p50_z_AU";"shweal_p90p100_z_JP";"shweal_p0p50_z_JP";"shweal_p90p100_z_WO";"shweal_p0p50_z_WO"
1995;0.6712;0.0094;0.6359;-0.047;0.5376000000000001;0.0669;0.5753;0.0432;0.5632;0.0701;0.4091;0.1598;0.6941;0.0243;0.862;-0.0512;0.5748;0.041;0.5834;0.0407;0.7758;0.0144
1996;0.6732;0.0079;0.6345000000000001;-0.0472;0.5686;0.0626;0.5766;0.0431;0.5628000000000001;0.0701;0.43;0.1537;0.6941;0.0243;0.8648;-0.051;0.5749000000000001;0.041;0.5851000000000001;0.0406;0.7742;0.0146
1997;0.68;0.0055;0.6346;-0.0472;0.5822;0.0608;0.5744;0.0434;0.5639000000000001;0.07;0.4464;0.149;0.6941;0.0243;0.8540000000000001;-0.0436;0.5747;0.041;0.5844;0.0407;0.7733;0.0154
1998;0.6864;0.0051;0.6315000000000001;-0.0476;0.5951000000000001;0.0586;0.5724;0.0436;0.5646;0.07;0.4591;0.1453;0.6940000000000001;0.0243;0.8452000000000001;-0.0354;0.5749000000000001;0.0409;0.5851000000000001;0.0406;0.7752;0.0157
1999;0.6862;0.0064;0.6407;-0.0464;0.6032000000000001;0.058;0.5774;0.0414;0.5651;0.0699;0.4692;0.1424;0.6941;0.0243;0.8408;-0.0216;0.5749000000000001;0.0409;0.5860000000000001;0.0406;0.7752;0.0164
2000;0.6865;0.0061;0.6395000000000001;-0.0465;0.6047;0.0566;0.5740000000000001;0.0401;0.5657;0.0699;0.4775;0.14;0.6942;0.0243;0.8365;-0.0157;0.5753;0.0409;0.5880000000000001;0.0405;0.7714000000000001;0.0169
2001;0.6819000000000001;0.0062;0.6339;-0.0418;0.596;0.0581;0.5708;0.0387;0.5680000000000001;0.0696;0.4844;0.138;0.6942;0.0243;0.8304;-0.0078;0.5752;0.0409;0.5888;0.0404;0.768;0.0171
2002;0.6815;0.0062;0.6458;-0.0534;0.5809000000000001;0.0603;0.5705;0.037;0.5715;0.0693;0.4901;0.1363;0.6989000000000001;0.0233;0.8263;-0.0038;0.5759000000000001;0.0409;0.5908;0.0403;0.7599;0.0182
2003;0.6817000000000001;0.0042;0.6462;-0.0597;0.5729000000000001;0.0602;0.5709000000000001;0.0352;0.5694;0.0696;0.4903;0.1363;0.6962;0.0238;0.8247;-0.0013;0.5758;0.0409;0.5925;0.0402;0.7565000000000001;0.0187
2004;0.6866;0.0039;0.6491;-0.0568;0.5665;0.0605;0.5794;0.033;0.5789000000000001;0.0681;0.5061;0.1321;0.6912;0.0249;0.8172;0.0018;0.5766;0.0409;0.5948;0.04;0.7589;0.0186
2005;0.6863;0.0047;0.6399;-0.0536;0.5583;0.0606;0.5865;0.031;0.5820000000000001;0.0676;0.5229;0.1276;0.7021000000000001;0.0226;0.8313;0.0003;0.5771000000000001;0.0409;0.5952000000000001;0.04;0.7581;0.0188
2006;0.6877;0.0018;0.6392;-0.0545;0.5612;0.0582;0.5917;0.029;0.5968;0.0652;0.5393;0.1232;0.7020000000000001;0.0226;0.8517;-0.0117;0.5773;0.0409;0.5956;0.0399;0.7572;0.0184
