Downloaded from wid.world on 12-04-2025 at 21:07:35
Percentile ;Year ;"sptinc_z_IN
Pre-tax national income 
Top 10% | share
India";"sptinc_z_US
Pre-tax national income 
Top 10% | share
USA";"sptinc_z_DE
Pre-tax national income 
Top 10% | share
Germany";"sptinc_z_FR
Pre-tax national income 
Top 10% | share
France";"sptinc_z_CN
Pre-tax national income 
Top 10% | share
China";"sptinc_z_BR
Pre-tax national income 
Top 10% | share
Brazil";"sptinc_z_ZA
Pre-tax national income 
Top 10% | share
South Africa";"sptinc_z_JP
Pre-tax national income 
Top 10% | share
Japan";"sptinc_z_SE
Pre-tax national income 
Top 10% | share
Sweden";"sptinc_z_AU
Pre-tax national income 
Top 10% | share
Australia"
p90p100;1990;0.3349;0.3876;0.3228;0.3118;0.3085;0.5859;0.4585;0.4052;0.2558;0.2693
p90p100;1991;0.341;0.3832;0.3071;0.3088;0.3151;0.5859;0.4794;0.3936;0.2618;0.2961
p90p100;1992;0.3506;0.3941;0.3076;0.3051;0.3271;0.5859;0.4753;0.3531;0.2646;0.2928
p90p100;1993;0.3671;0.391;0.3016;0.3046;0.3391;0.5859;0.4498;0.3582;0.2747;0.299
p90p100;1994;0.3824;0.3913;0.2923;0.3098;0.3433;0.5859;0.4608;0.3618;0.3031;0.3036
p90p100;1995;0.383;0.399;0.2948;0.3112;0.339;0.5859;0.4718;0.3717;0.3125;0.3089
p90p100;1996;0.3794;0.408;0.3031;0.3203;0.339;0.5859;0.4828;0.381;0.2984;0.3095
p90p100;1997;0.3874;0.4155;0.306;0.3243;0.3391;0.5859;0.4938;0.3786;0.3088;0.3035
p90p100;1998;0.3924;0.4192;0.3144;0.331;0.3425;0.5859;0.5048;0.3824;0.3094;0.3108
p90p100;1999;0.3949;0.4228;0.3175;0.3304;0.3479;0.5859;0.5158;0.3894;0.3119;0.3115
p90p100;2000;0.3987;0.4273;0.3152;0.3335;0.3587;0.5859;0.5269;0.4006;0.3008;0.319
p90p100;2001;0.4095;0.4194;0.3159;0.3352;0.3662;0.5859;0.5379;0.4132;0.2888;0.3172
p90p100;2002;0.4206;0.4149;0.3169;0.3338;0.3968;0.5957;0.5489;0.4232;0.2928;0.3264
