Downloaded from wid.world on 21-04-2025 at 17:25:10
Year;"sptinc_p90p100_z_US";"sptinc_p0p50_z_US";"sptinc_p99p100_z_US";"sptinc_p90p100_z_FR";"sptinc_p0p50_z_FR";"sptinc_p99p100_z_FR";"sptinc_p90p100_z_DE";"sptinc_p0p50_z_DE";"sptinc_p99p100_z_DE";"sptinc_p90p100_z_IN";"sptinc_p0p50_z_IN";"sptinc_p99p100_z_IN";"sptinc_p90p100_z_CN";"sptinc_p0p50_z_CN";"sptinc_p99p100_z_CN";"sptinc_p90p100_z_BR";"sptinc_p0p50_z_BR";"sptinc_p99p100_z_BR";"sptinc_p90p100_z_ZA";"sptinc_p0p50_z_ZA";"sptinc_p99p100_z_ZA";"sptinc_p90p100_z_JP";"sptinc_p0p50_z_JP";"sptinc_p99p100_z_JP";"sptinc_p90p100_z_SE";"sptinc_p0p50_z_SE";"sptinc_p99p100_z_SE";"sptinc_p90p100_z_AU";"sptinc_p0p50_z_AU";"sptinc_p99p100_z_AU";"sptinc_p90p100_z_WO";"sptinc_p0p50_z_WO";"sptinc_p99p100_z_WO"
1980;0.3384;0.2008;0.1042;0.2866;0.2293;0.0751;0.2836;0.2347;0.0968;0.315;0.233;0.0734;0.2789;0.2498;0.0657;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.352;0.2096;0.1045;0.2543;0.2685;0.0696;0.2487;0.195;0.0547;0.5184;0.062;0.1679
1981;0.3433;0.1969;0.1067;0.2841;0.2311;0.0731;0.2748;0.2487;0.0912;0.3071;0.2348;0.067;0.2831;0.2471;0.0686;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3478;0.2129;0.1013;0.254;0.2696;0.0712;0.2481;0.1944;0.0528;0.5166000000000001;0.0642;0.1653
1982;0.346;0.1916;0.1099;0.2812;0.2323;0.0699;0.2736;0.2513;0.0891;0.3005;0.2362;0.0611;0.2871;0.2419;0.0709;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3469;0.2143;0.1008;0.2643;0.2663;0.0811;0.2511;0.1912;0.0531;0.5133;0.0665;0.1615
1983;0.3536;0.1832;0.115;0.2818;0.2319;0.0694;0.2779;0.2488;0.0912;0.3528;0.2177;0.1031;0.288;0.2445;0.0727;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.349;0.212;0.1003;0.2679;0.2652;0.0843;0.2485;0.1939;0.053;0.5145000000000001;0.0662;0.1607
1984;0.3649;0.1796;0.1215;0.2834;0.2303;0.0697;0.2829;0.2384;0.0927;0.3338;0.224;0.0889;0.2928;0.2418;0.0761;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3524;0.2097;0.1019;0.2744;0.2784;0.0942;0.2532;0.1936;0.0564;0.519;0.0672;0.164
1985;0.3655;0.1782;0.1227;0.2869;0.232;0.0722;0.2809;0.2491;0.0928;0.3479;0.2192;0.1045;0.3014;0.2384;0.0817;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3587;0.2045;0.1046;0.2784;0.2623;0.0938;0.2554;0.192;0.06;0.5203;0.0675;0.1633
1986;0.3634;0.1761;0.1198;0.295;0.231;0.0777;0.2914;0.2356;0.0984;0.3507;0.2181;0.1081;0.3039;0.2252;0.0811;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3665;0.2012;0.1097;0.2773;0.2645;0.0922;0.2631;0.1883;0.0638;0.524;0.0669;0.1659
1987;0.3747;0.1736;0.1324;0.3;0.2312;0.0813;0.2947;0.2441;0.1012;0.3447;0.2201;0.1032;0.3022;0.2207;0.08;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3848;0.1947;0.1231;0.2781;0.2634;0.0929;0.2789;0.1819;0.0752;0.5264;0.0676;0.1702
1988;0.3924;0.1687;0.1521;0.304;0.2319;0.0833;0.3133;0.2255;0.1115;0.3538;0.2169;0.1111;0.3056;0.2188;0.0813;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.391;0.1914;0.1258;0.2778;0.2766;0.0971;0.295;0.1776;0.0923;0.532;0.0668;0.1768
1989;0.3878;0.1698;0.1469;0.3112;0.2271;0.088;0.3168;0.2341;0.1145;0.3541;0.2171;0.1102;0.3111;0.2126;0.0833;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.3996;0.1898;0.1358;0.2768;0.263;0.093;0.2755;0.1859;0.0758;0.5358;0.0662;0.1775
1990;0.3876;0.1685;0.1471;0.3118;0.2248;0.0886;0.3228;0.2186;0.1131;0.3349;0.2238;0.1046;0.3085;0.2146;0.0821;0.5859;0.0921;0.2215;0.4585;0.1595;0.0985;0.4052;0.1902;0.1437;0.2558;0.2851;0.076;0.2693;0.1874;0.0706;0.5413;0.0655;0.1808
1991;0.3832;0.1671;0.1365;0.3088;0.224;0.0898;0.3071;0.2353;0.1004;0.341;0.2221;0.1016;0.3151;0.2027;0.0842;0.5859;0.0921;0.2215;0.4794;0.1478;0.1054;0.3936;0.196;0.1343;0.2618;0.2808;0.0758;0.2961;0.187;0.0701;0.543;0.0658;0.1799
1992;0.3941;0.16;0.1468;0.3051;0.2233;0.0865;0.3076;0.2265;0.0952;0.3506;0.2191;0.1001;0.3271;0.1939;0.0885;0.5859;0.0921;0.2215;0.4753;0.1501;0.1056;0.3531;0.2107;0.0979;0.2646;0.2665;0.0751;0.2928;0.1908;0.0687;0.5515;0.0657;0.1805
1993;0.391;0.1611;0.1415;0.3046;0.2199;0.0861;0.3016;0.2293;0.0909;0.3671;0.2138;0.1247;0.3391;0.1849;0.0929;0.5859;0.0921;0.2215;0.4498;0.1643;0.1027;0.3582;0.2076;0.0999;0.2747;0.2612;0.0831;0.299;0.1872;0.0723;0.5538000000000001;0.0668;0.1813
1994;0.3913;0.1617;0.1402;0.3098;0.2183;0.0906;0.2923;0.2441;0.0866;0.3824;0.2089;0.1236;0.3433;0.1811;0.0954;0.5859;0.0921;0.2215;0.4608;0.1576;0.1097;0.3618;0.2055;0.0983;0.3031;0.2518;0.106;0.3036;0.1851;0.0759;0.5589000000000001;0.067;0.1834
1995;0.399;0.1574;0.1452;0.3112;0.2183;0.0922;0.2948;0.2332;0.0867;0.383;0.2094;0.1301;0.339;0.1849;0.0938;0.5859;0.0921;0.2215;0.4718;0.1509;0.1168;0.3717;0.1994;0.1021;0.3125;0.2494;0.1146;0.3089;0.1843;0.0788;0.5612;0.0686;0.1863
1996;0.408;0.1547;0.1525;0.3203;0.2151;0.1016;0.3031;0.228;0.0941;0.3794;0.2112;0.1321;0.339;0.1906;0.0965;0.5859;0.0921;0.2215;0.4828;0.1442;0.1238;0.381;0.1931;0.1087;0.2984;0.2688;0.1028;0.3095;0.1865;0.083;0.5663;0.0686;0.1922
1997;0.4155;0.1524;0.16;0.3243;0.2119;0.1061;0.306;0.2343;0.0991;0.3874;0.2089;0.1383;0.3391;0.1909;0.0965;0.5859;0.0921;0.2215;0.4938;0.1375;0.1309;0.3786;0.1933;0.1029;0.3088;0.2625;0.1112;0.3035;0.185;0.0752;0.5660000000000001;0.07;0.1939
1998;0.4192;0.1528;0.1632;0.331;0.21;0.1112;0.3144;0.2276;0.1067;0.3924;0.2076;0.1436;0.3425;0.1915;0.0994;0.5859;0.0921;0.2215;0.5048;0.1308;0.1379;0.3824;0.1922;0.1018;0.3094;0.2609;0.1126;0.3108;0.1818;0.0813;0.5722;0.0698;0.1971
